fat,len,wid,slat,slon
0,0.1,25,39.23,-104.62
0,0.1,20,32.08,-88.22
0,0.1,20,37.01,-77.04
0,25.13,100,40.9988,-105.274
0,7.0,100,33.27,-91.8
0,0.1,20,30.23,-90.92
0,2.57,250,41.2537,-87.4601
0,4.8,25,32.35,-95.3
0,1.5,100,39.35,-84.18
0,3.5,20,35.88,-90.28
0,0.1,10,41.88,-99.38
0,0.5,50,35.22,-86.47
0,6.35,800,30.3839,-93.2834
0,0.2,25,48.78,-96.03
3,46.36,880,40.622,-89.5678
0,0.1,50,37.32,-121.02
0,3.44,50,43.5353,-93.7538
0,1.0,100,29.43,-95.78
0,12.0,150,33.39,-90.72
0,5.5,100,32.3024,-97.2244
0,0.1,40,40.91,-96.6
0,0.4,100,35.4303,-95.7911
0,0.34,50,38.3638,-90.1609
0,1.0,100,32.33,-90.17
0,2.74,30,41.55,-87.43
0,0.25,40,39.18,-93.86
0,0.2,25,30.72,-90.5
0,0.1,20,32.38,-82.6
0,1.5,70,33.02,-89.7
0,0.78,50,39.4519,-85.4827
0,0.05,25,42.9723,-85.6682
0,0.94,100,34.2299,-86.4949
0,0.5,50,42.85,-96.83
0,0.45,150,30.88,-90.61
0,0.1,10,34.58,-118.12
0,0.1,20,31.63,-88.32
0,5.0,880,39.37,-103.6
0,0.1,50,36.9614,-96.5458
0,5.53,150,33.68,-90.8
0,0.2,30,39.68,-100.28
0,1.0,50,32.68,-85.8
0,0.29,60,38.7601,-85.4625
0,0.3,50,43.29,-97.73299999999999
0,3.57,75,38.32,-98.7
0,0.5,50,47.88,-107.67
0,0.1,10,38.28,-102.95
0,0.2,25,29.3,-94.82
0,2.0,20,35.7,-91.45
0,0.97,30,41.5732,-88.4136
0,0.2,25,36.35,-98.57
0,0.9,50,33.62,-91.61
0,0.1,50,44.49,-97.541
0,3.38,50,32.6302,-95.3479
0,0.1,25,41.76,-94.07
0,0.1,10,40.05,-111.73
0,7.0,10,44.25,-105.53
0,6.68,500,41.55,-76.48
0,1.0,200,48.93,-96.93
0,0.5,50,36.83,-87.82
0,1.9,150,38.5366,-99.4242
0,0.37,50,34.59,-97.71
0,7.18,150,37.1185,-85.0814
0,0.5,150,31.92,-102.0
0,1.21,75,28.2087,-82.4553
0,1.91,10,30.932,-96.0995
0,6.56,200,33.6024,-87.6769
0,1.0,100,34.18,-98.5475
0,0.06,25,36.13,-101.19
0,0.2,20,35.33,-92.42
0,0.1,10,36.1295,-97.3547
0,0.35,25,39.47,-84.8
0,0.25,50,39.1599,-102.654
0,2.07,100,43.28,-97.58
0,0.1,25,35.29,-113.96
0,0.1,50,43.05,-83.32
0,0.5,30,34.8,-97.18
0,0.2,20,35.65,-97.64
0,1.5,50,38.07,-78.07
0,0.47,25,39.194,-85.1001
0,0.1,30,31.7,-82.2
0,0.26,80,38.4125,-85.4108
0,7.49,880,39.1996,-104.2
0,0.56,150,33.503,-84.4791
0,0.2,25,31.6,-94.67
0,1.94,50,27.1045,-80.9425
0,0.2,30,34.13,-102.13
0,2.04,100,38.8455,-83.2138
0,1.0,150,33.18,-104.77
0,0.26,100,34.2232,-91.9826
0,2.0,150,35.07,-92.77
0,0.1,10,27.53,-80.43
0,0.31,50,31.625,-89.5264
0,0.72,75,42.9089,-90.995
0,2.0,30,47.4,-109.8
0,1.68,100,30.8685,-98.0875
0,0.1,10,38.37,-103.05
0,6.02,560,32.3556,-89.6523
0,1.64,75,38.7,-76.56
0,3.05,50,38.4881,-95.2717
0,0.5,15,42.03,-88.08
0,0.1,50,42.47,-96.02
0,0.82,138,33.7502,-85.8464
0,0.43,25,41.5479,-93.2512
0,0.1,50,39.04,-103.95
0,0.7,50,38.43,-90.78
0,0.38,25,30.255,-91.82799999999999
0,0.5,20,26.47,-80.18
0,5.45,75,40.8241,-84.7257
0,1.5,50,34.43,-99.17
0,0.1,10,28.55,-81.75
0,23.59,880,33.13,-89.52
0,0.28,10,43.3243,-77.7165
0,8.0,500,37.18,-98.0
0,0.1,10,45.82,-101.35
0,3.0,100,41.68,-79.42
0,4.0,75,40.72,-81.6
0,0.5,40,39.04,-78.29
0,2.34,200,36.327,-86.8778
0,2.0,100,40.32,-97.28
0,0.13,300,32.3939,-102.814
0,0.15,30,38.5991,-87.1394
0,5.0,150,33.0,-92.68
0,9.88,100,42.99,-98.45
0,0.1,25,34.87,-76.38
0,0.2,50,43.13,-97.0
0,3.15,100,42.86,-88.363
0,0.3,0,37.75,-121.43
1,9.0,30,45.63,-94.57
0,0.17,20,46.63,-101.57
0,0.1,75,33.9,-84.33
0,2.47,20,30.7625,-89.5228
0,0.1,25,35.2,-101.37
0,24.5,100,42.318999999999996,-94.4242
0,0.3,10,45.05,-97.32
0,1.2,75,35.5,-97.35
0,10.0,350,35.48,-92.62
0,4.0,50,39.0,-91.4
0,0.25,20,39.73,-122.55
0,2.5,200,30.52,-87.9
0,0.02,20,29.406,-95.4343
0,0.27,25,29.427,-94.9734
0,2.35,300,40.81,-85.4355
0,4.61,50,42.7741,-94.1259
0,1.0,30,29.73,-95.37
4,14.0,400,37.9,-92.83
0,4.5,120,44.05,-90.88
0,3.0,150,44.02,-83.68
0,0.28,25,39.5878,-93.1345
0,0.2,50,36.4019,-94.2351
0,4.0,100,39.82,-97.1
0,0.8,500,32.5666,-87.2943
0,18.52,300,32.7303,-88.5776
0,0.1,10,40.61,-100.7
0,10.0,575,37.92,-84.63
0,1.0,50,32.35,-91.03
0,0.16,25,39.09,-94.97
0,0.1,30,40.75,-104.7
0,3.0,100,34.38,-96.17
0,1.15,350,27.253,-82.5396
0,0.2,75,34.5396,-79.9972
0,1.28,100,46.3,-96.29
0,5.0,100,40.17,-76.85
0,6.0,100,36.55,-100.58
0,10.27,800,32.5501,-94.8205
0,4.41,50,40.6694,-91.3607
0,0.72,100,34.7412,-89.7413
0,0.25,25,29.8095,-90.4936
0,0.5,30,44.27,-94.43
0,0.14,25,30.16,-92.18
0,2.25,50,44.8949,-88.2802
0,2.0,125,37.4834,-89.243
0,0.5,50,33.28,-95.9
0,4.84,75,44.8705,-88.85
0,0.8,400,31.5612,-95.1042
0,0.0,40,40.08,-95.73
0,2.7,20,28.88,-82.38
0,1.23,100,37.6413,-87.5314
0,1.12,40,33.838,-79.1722
0,0.59,75,31.4479,-100.37799999999999
0,3.3,150,34.8009,-96.8202
0,0.48,75,44.8933,-71.5167
0,0.62,87,34.82,-88.08
